session_id,session_date,customer_id,store_id,device_type,browser_os,session_purchase_made,session_duration_minutes,session_pages_visited,session_quality_score
SESSION_0030,6/5/2024,314,402,desktop,Chrome|Windows,True,21,5,0.33
SESSION_0031,5/9/2024,338,402,desktop,Chrome|MacOS,False,51,16,0.28
SESSION_0032,6/20/2024,378,403,tablet,Safari|iOS,False,10,3,
SESSION_0033,6/28/2024,360,403,desktop,Chrome|MacOS,False,5,1,0.31
SESSION_0034,6/26/2024,375,402,mobile,Chrome|Android,False,19,5,0.41
SESSION_0035,3/29/2024,417,403,desktop,Edge|Windows,False,50,9,0.33
SESSION_0036,6/26/2024,394,403,desktop,Chrome|MacOS,False,37,7,0.28
SESSION_0037,4/10/2024,393,404,desktop,Firefox|MacOS,True,63,12,0.32
SESSION_0038,5/13/2024,361,404,mobile,Safari|iOS,False,28,7,0.09
SESSION_0039,3/14/2024,417,402,desktop,Chrome|MacOS,False,78,22,0.31
SESSION_0040,3/29/2024,336,402,mobile,Chrome|Android,False,49,14,0.31
SESSION_0041,4/10/2024,366,403,desktop,Chrome|Windows,False,54,14,0.3
SESSION_0042,4/29/2024,331,404,tablet,Safari|iOS,False,44,9,0.0
SESSION_0043,4/18/2024,424,403,desktop,Chrome|Windows,False,54,14,0.32
SESSION_0044,3/3/2024,308,404,desktop,Firefox|Windows,False,83,18,0.38
SESSION_0045,3/1/2024,408,402,desktop,Chrome|MacOS,False,83,17,0.42
SESSION_0046,5/16/2024,341,404,desktop,Chrome|Windows,False,46,9,0.11
SESSION_0047,3/30/2024,312,402,desktop,Safari|MacOS,True,68,13,0.31
SESSION_0048,6/18/2024,363,403,mobile,Firefox|Android,False,35,7,0.55
SESSION_0049,5/15/2024,405,404,desktop,Chrome|MacOS,False,34,7,0.42
SESSION_0050,3/9/2024,429,402,desktop,Chrome|Windows,False,61,17,0.36
SESSION_0051,3/13/2024,332,402,desktop,Chrome|Windows,False,62,11,0.58
SESSION_0052,6/23/2024,429,404,mobile,Chrome|Android,True,33,7,0.10
SESSION_0053,5/17/2024,390,404,tablet,Safari|iOS,False,38,7,
SESSION_0054,5/13/2024,417,404,desktop,Chrome|Windows,False,70,10,
SESSION_0055,5/1/2024,417,404,mobile,Safari|iOS,True,37,9,0.27
SESSION_0056,6/12/2024,347,404,mobile,Safari|iOS,False,18,4,0.1
SESSION_0057,5/25/2024,393,402,desktop,Chrome|Windows,False,47,10,
SESSION_0058,3/21/2024,361,402,desktop,Chrome|Windows,False,81,16,0.61
SESSION_0059,3/26/2024,367,402,desktop,Chrome|Windows,True,68,13,0.4
SESSION_0060,3/22/2024,399,403,desktop,Chrome|Windows,True,74,16,0.12
SESSION_0061,6/11/2024,313,402,desktop,Chrome|Windows,False,49,13,0.29
SESSION_0062,6/20/2024,302,402,mobile,Firefox|Android,False,27,5,0.3
SESSION_0063,4/14/2024,366,404,mobile,Safari|iOS,False,37,8,0.3
SESSION_0064,5/12/2024,403,403,mobile,Safari|iOS,False,36,9,0.34
SESSION_0065,5/9/2024,374,402,tablet,Chrome|Android,False,55,12,0.29
SESSION_0066,5/16/2024,349,402,mobile,Chrome|Android,False,24,4,0.47
SESSION_0067,4/23/2024,301,403,tablet,Safari|iOS,False,51,11,0.31
SESSION_0068,5/24/2024,366,404,desktop,Firefox|Windows,False,41,8,0.52
SESSION_0069,3/7/2024,355,402,desktop,Safari|MacOS,True,67,12,0.32
SESSION_0070,5/4/2024,301,404,mobile,Chrome|Android,False,55,10,0.3
SESSION_0071,6/15/2024,418,404,mobile,Safari|iOS,True,37,7,0.56
SESSION_0072,6/4/2024,417,403,desktop,Chrome|Windows,False,62,8,0.44
SESSION_0073,6/10/2024,331,402,mobile,Safari|iOS,False,40,7,0.27
SESSION_0074,3/6/2024,413,402,desktop,Firefox|MacOS,True,64,12,0.29
SESSION_0075,5/15/2024,349,404,mobile,Safari|iOS,False,35,5,0.12
SESSION_0076,5/21/2024,425,404,mobile,Safari|iOS,True,29,4,0.57
SESSION_0077,3/22/2024,407,404,desktop,Chrome|iOS,False,75,14,0.04
SESSION_0078,4/8/2024,307,402,desktop,Chrome|MacOS,False,50,9,0.1
SESSION_0079,4/2/2024,369,404,tablet,Chrome|Android,False,58,12,0.42
SESSION_0080,3/11/2024,320,403,desktop,Safari|MacOS,False,78,17,0.29
SESSION_0081,6/17/2024,413,403,mobile,Safari|iOS,False,21,5,0.51
SESSION_0082,5/17/2024,407,402,mobile,Safari|iOS,True,37,6,0.29
SESSION_0083,5/29/2024,312,402,mobile,Chrome|Android,False,14,3,0.3
SESSION_0084,5/18/2024,310,404,tablet,Chrome|Android,False,28,3,0.28
SESSION_0085,5/16/2024,423,403,mobile,Safari|iOS,False,35,9,0.38
SESSION_0086,5/28/2024,313,404,mobile,Firefox|Android,False,42,9,0.29
SESSION_0087,4/18/2024,429,404,desktop,Firefox|iOS,True,67,15,0.54
SESSION_0088,4/6/2024,393,402,desktop,Edge|Windows,False,57,14,0.31
SESSION_0089,6/12/2024,304,402,mobile,Chrome|Android,False,35,11,0.5
SESSION_0090,6/27/2024,364,404,mobile,Chrome|Android,False,28,2,0.4
SESSION_0091,4/30/2024,309,404,desktop,Firefox|MacOS,False,60,12,0.31
SESSION_0092,4/22/2024,301,402,desktop,Firefox|Linux,True,61,10,0.1
SESSION_0093,4/3/2024,398,403,desktop,Firefox|Windows,False,62,9,0.1
SESSION_0094,4/12/2024,339,403,desktop,Chrome|Windows,False,43,8,0.32
SESSION_0095,5/8/2024,327,403,tablet,Safari|iOS,False,55,9,
SESSION_0096,6/21/2024,347,404,desktop,Chrome|Windows,False,33,6,0.42
SESSION_0097,6/6/2024,324,404,tablet,Safari|iOS,False,48,10,0.12
SESSION_0098,6/20/2024,430,404,mobile,Safari|iOS,False,28,8,0.61
SESSION_0099,6/9/2024,421,402,desktop,Edge|MacOS,False,56,11,0.33
SESSION_0100,6/19/2024,417,404,desktop,Firefox|MacOS,False,25,6,0.09
SESSION_0101,5/6/2024,356,404,mobile,Chrome|Android,False,64,9,0.28
SESSION_0102,6/15/2024,313,403,mobile,Safari|iOS,False,32,8,0.32
SESSION_0103,5/31/2024,340,402,mobile,Chrome|Android,False,30,3,0.45
SESSION_0104,5/19/2024,424,403,tablet,Chrome|Android,True,27,3,0.56
SESSION_0105,3/2/2024,349,404,mobile,Chrome|Android,False,72,15,0.3
SESSION_0106,3/28/2024,313,402,desktop,Edge|Windows,False,78,11,0.42
SESSION_0107,3/13/2024,309,404,mobile,Safari|iOS,False,78,16,0.37
SESSION_0108,6/26/2024,379,403,mobile,Chrome|Android,False,35,7,0.4
SESSION_0109,3/27/2024,364,403,mobile,Chrome|Android,False,33,8,
SESSION_0110,3/4/2024,312,404,mobile,Safari|iOS,True,81,22,0.3
SESSION_0111,3/28/2024,331,402,mobile,Safari|iOS,False,68,11,0.29
SESSION_0112,3/1/2024,418,402,desktop,Chrome|Windows,False,68,20,0.53
SESSION_0113,4/24/2024,307,403,mobile,Safari|iOS,True,42,11,0.27
SESSION_0114,5/15/2024,332,404,tablet,Chrome|Android,False,42,10,0.31
SESSION_0115,3/19/2024,351,402,desktop,Chrome|Windows,False,86,19,0.12
SESSION_0116,4/19/2024,327,403,mobile,Chrome|Android,False,39,10,0.33
SESSION_0117,4/7/2024,356,404,mobile,Firefox|Android,False,52,8,0.38
SESSION_0118,3/29/2024,344,402,desktop,Chrome|Windows,False,77,17,0.3
SESSION_0119,5/18/2024,308,402,mobile,Safari|iOS,True,35,6,0.3
SESSION_0120,6/19/2024,417,403,desktop,Edge|Windows,False,25,5,0.11
SESSION_0121,4/23/2024,313,402,mobile,Chrome|Android,False,51,11,0.61
SESSION_0122,3/29/2024,376,403,tablet,Chrome|Android,True,46,8,0.01
SESSION_0123,5/13/2024,307,404,mobile,Firefox|Android,False,45,7,0.42
SESSION_0124,4/22/2024,324,404,desktop,Chrome|Windows,True,36,4,0.38
SESSION_0125,5/16/2024,313,402,mobile,Chrome|Android,False,52,12,0.28
SESSION_0126,4/21/2024,394,404,tablet,Chrome|Android,False,51,7,0.27
SESSION_0127,4/10/2024,417,403,desktop,Chrome|MacOS,False,83,19,0.5
SESSION_0128,6/3/2024,424,402,mobile,Chrome|Android,True,38,10,0.57
SESSION_0129,4/4/2024,301,404,desktop,Chrome|Windows,False,74,12,0.13
SESSION_0130,6/8/2024,349,404,mobile,Firefox|Android,False,17,3,0.33
SESSION_0131,5/4/2024,364,404,desktop,Chrome|MacOS,False,44,11,0.29
SESSION_0132,3/7/2024,418,403,desktop,Firefox|Windows,False,75,13,0.49
SESSION_0133,6/14/2024,315,402,mobile,Chrome|Android,False,52,15,0.32
SESSION_0134,4/10/2024,356,403,mobile,Safari|iOS,True,35,5,0.12
SESSION_0135,3/27/2024,421,404,mobile,Chrome|Android,False,73,18,0.32
SESSION_0136,6/20/2024,357,404,desktop,Safari|MacOS,False,36,7,0.32
SESSION_0137,5/16/2024,407,404,desktop,Safari|MacOS,False,60,12,0.28
SESSION_0138,4/13/2024,403,402,desktop,Firefox|Windows,False,63,12,0.09
SESSION_0139,4/22/2024,316,404,desktop,Chrome|Windows,False,51,11,0.31
SESSION_0140,6/21/2024,344,403,tablet,Safari|iOS,False,22,6,0.32
SESSION_0141,5/26/2024,361,402,tablet,Safari|iOS,False,23,4,0.36
SESSION_0142,3/30/2024,429,403,desktop,Chrome|MacOS,False,62,13,0.1
SESSION_0143,6/27/2024,326,403,mobile,Chrome|Android,False,24,2,0.28
SESSION_0144,6/25/2024,356,404,mobile,Chrome|Android,False,51,8,0.44
SESSION_0145,5/14/2024,356,403,tablet,Safari|iOS,False,35,6,0.37
SESSION_0146,6/14/2024,407,403,mobile,Safari|iOS,False,35,6,0.31
SESSION_0147,4/20/2024,408,404,mobile,Safari|iOS,True,33,7,0.29
SESSION_0148,6/5/2024,348,402,mobile,Chrome|Android,False,29,7,0.03
SESSION_0149,5/8/2024,394,403,desktop,Chrome|Windows,True,47,10,0.32
SESSION_0150,4/25/2024,418,402,desktop,Safari|MacOS,True,59,14,
SESSION_0151,4/26/2024,349,402,desktop,Chrome|MacOS,False,66,9,0.3
SESSION_0152,4/24/2024,328,402,desktop,Chrome|Windows,True,49,9,
SESSION_0153,3/5/2024,361,403,mobile,Chrome|Android,False,59,13,0.09
SESSION_0154,3/17/2024,301,403,mobile,Safari|iOS,False,72,17,0.41
SESSION_0155,4/1/2024,430,403,desktop,Firefox|MacOS,False,65,14,0.33
SESSION_0156,5/26/2024,375,403,desktop,Firefox|Windows,False,43,10,0.3
SESSION_0157,6/14/2024,301,403,desktop,Chrome|Windows,True,22,5,0.52
SESSION_0158,5/8/2024,313,404,desktop,Safari|MacOS,False,58,9,0.12
SESSION_0159,6/23/2024,336,403,desktop,Firefox|Windows,False,29,7,0.52
SESSION_0160,5/3/2024,364,404,tablet,Safari|iOS,False,55,11,0.39
SESSION_0161,5/14/2024,386,404,tablet,Chrome|Android,False,57,13,0.1
SESSION_0162,6/29/2024,417,402,desktop,Chrome|MacOS,False,33,10,0.10
SESSION_0163,5/25/2024,332,402,desktop,Chrome|Windows,True,41,12,0.57
SESSION_0164,5/30/2024,398,403,desktop,Chrome|Windows,False,62,6,0.4
SESSION_0165,3/23/2024,394,403,tablet,Chrome|Android,False,66,15,0.45
SESSION_0166,4/28/2024,308,403,desktop,Edge|Windows,True,45,10,0.45
SESSION_0167,5/27/2024,356,402,mobile,Safari|iOS,False,39,6,0.32
SESSION_0168,6/20/2024,316,402,mobile,Firefox|Android,True,46,9,0.03
SESSION_0169,4/25/2024,303,402,desktop,Chrome|iOS,False,51,7,0.33
SESSION_0170,6/25/2024,425,403,mobile,Chrome|Android,False,33,9,0.34
SESSION_0171,6/20/2024,301,402,desktop,Chrome|Windows,False,43,7,0.12
SESSION_0172,3/11/2024,368,402,desktop,Safari|MacOS,False,63,12,0.41
SESSION_0173,3/10/2024,417,402,mobile,Chrome|Android,False,49,10,0.39
SESSION_0174,5/27/2024,394,402,desktop,Chrome|MacOS,False,41,9,0.58
SESSION_0175,6/13/2024,313,403,tablet,Chrome|Android,False,34,7,0.48
SESSION_0176,5/10/2024,341,404,mobile,Safari|iOS,True,36,5,0.61
SESSION_0177,5/23/2024,425,404,desktop,Chrome|Windows,True,49,7,0.47
SESSION_0178,3/4/2024,303,404,desktop,Firefox|Windows,False,80,12,0.28
SESSION_0179,5/10/2024,323,403,desktop,Firefox|iOS,False,32,10,
SESSION_0180,5/30/2024,344,404,desktop,Chrome|MacOS,False,42,7,0.4
SESSION_0181,5/27/2024,356,402,mobile,Safari|iOS,False,35,8,0.4
SESSION_0182,3/18/2024,382,402,desktop,Firefox|MacOS,False,48,13,0.37
SESSION_0183,6/12/2024,399,403,desktop,Safari|MacOS,False,37,6,0.5
SESSION_0184,3/11/2024,426,404,desktop,Chrome|MacOS,False,68,12,0.61
SESSION_0185,6/23/2024,307,403,mobile,Safari|iOS,False,19,4,0.3
SESSION_0186,4/21/2024,418,404,desktop,Firefox|Windows,False,57,9,
SESSION_0187,6/24/2024,344,403,mobile,Chrome|Android,False,33,4,0.62
SESSION_0188,3/22/2024,346,402,desktop,Chrome|Windows,False,57,9,0.32
SESSION_0189,4/24/2024,407,402,desktop,Chrome|Windows,False,55,13,0.33
SESSION_0190,5/10/2024,353,402,desktop,Chrome|Windows,False,56,9,0.33
SESSION_0191,5/19/2024,357,404,desktop,Chrome|Windows,False,32,11,0.3
SESSION_0192,3/22/2024,367,402,desktop,Chrome|Windows,False,68,12,0.12
SESSION_0193,4/30/2024,401,404,mobile,Safari|iOS,False,47,6,0.35
SESSION_0194,4/15/2024,417,402,desktop,Chrome|MacOS,False,81,17,0.62
SESSION_0195,3/21/2024,360,403,mobile,Chrome|Android,False,42,4,0.1
SESSION_0196,3/18/2024,373,404,desktop,Chrome|MacOS,False,74,15,0.09
SESSION_0197,5/29/2024,345,403,desktop,Edge|Windows,False,33,4,0.31
SESSION_0198,6/6/2024,334,403,desktop,Chrome|MacOS,False,32,4,0.12
SESSION_0199,3/18/2024,302,403,desktop,Safari|MacOS,False,88,25,0.49
SESSION_0200,6/15/2024,301,402,mobile,Firefox|Android,True,30,7,0.31
SESSION_0201,6/18/2024,430,402,mobile,Safari|iOS,False,56,8,0.09
SESSION_0202,3/5/2024,357,404,desktop,Firefox|Windows,False,67,16,0.10
SESSION_0203,5/1/2024,369,402,desktop,Firefox|Windows,False,51,10,0.41
SESSION_0204,6/22/2024,378,403,mobile,Chrome|Android,True,22,3,0.28
SESSION_0205,3/24/2024,371,404,desktop,Chrome|iOS,False,55,9,0.39
SESSION_0206,3/24/2024,327,402,desktop,Chrome|Windows,False,64,9,0.12
SESSION_0207,5/18/2024,406,403,mobile,Edge|MacOS,False,37,7,0.58
SESSION_0208,5/26/2024,425,402,mobile,Chrome|Android,False,40,7,0.3
SESSION_0209,4/25/2024,375,402,mobile,Chrome|Android,True,24,2,0.12
SESSION_0210,6/1/2024,378,403,desktop,Chrome|MacOS,False,59,9,0.42
SESSION_0211,4/27/2024,393,404,desktop,Chrome|MacOS,False,47,7,0.35
SESSION_0212,5/17/2024,313,402,desktop,Chrome|Windows,True,62,16,0.54
SESSION_0213,6/8/2024,322,404,desktop,Firefox|Windows,False,21,4,0.3
SESSION_0214,6/27/2024,356,402,desktop,Firefox|Linux,False,30,8,0.35
SESSION_0215,5/13/2024,313,403,desktop,Chrome|Windows,False,80,17,0.29
SESSION_0216,5/10/2024,383,404,desktop,Safari|MacOS,False,33,5,0.39
SESSION_0217,4/2/2024,413,403,tablet,Safari|iOS,False,41,7,0.32
SESSION_0218,5/25/2024,311,403,desktop,Chrome|Windows,False,31,9,0.47
SESSION_0219,4/22/2024,301,402,desktop,Safari|MacOS,False,56,9,0.3
SESSION_0220,5/29/2024,316,403,desktop,Edge|MacOS,False,45,4,0.6
SESSION_0221,3/24/2024,423,403,desktop,Chrome|MacOS,False,78,23,0.02
SESSION_0222,6/4/2024,313,403,desktop,Firefox|Windows,False,31,4,0.55
SESSION_0223,4/17/2024,353,404,desktop,Edge|Windows,False,33,8,0.31
SESSION_0224,6/28/2024,394,403,mobile,Safari|iOS,False,20,4,0.32
SESSION_0225,5/13/2024,384,402,tablet,Safari|iOS,False,57,15,0.4
SESSION_0226,4/25/2024,336,404,desktop,Safari|MacOS,False,55,11,0.33
SESSION_0227,6/17/2024,301,403,desktop,Chrome|Windows,True,6,1,0.38
SESSION_0228,4/26/2024,429,402,mobile,Firefox|Android,False,49,10,0.62
SESSION_0229,5/15/2024,426,403,desktop,Chrome|Windows,True,58,13,0.27
SESSION_0230,3/26/2024,301,402,mobile,Safari|iOS,False,87,17,0.32
SESSION_0231,5/26/2024,423,402,desktop,Firefox|Windows,False,44,8,0.12
SESSION_0232,5/27/2024,397,404,desktop,Firefox|iOS,False,41,10,0.55
SESSION_0233,3/6/2024,331,402,mobile,Safari|iOS,False,57,10,0.1
SESSION_0234,3/7/2024,344,402,desktop,Chrome|Windows,False,61,11,0.32
SESSION_0235,3/29/2024,399,403,desktop,Safari|MacOS,False,61,8,0.4
SESSION_0236,3/8/2024,320,402,desktop,Chrome|Windows,False,77,15,0.12
SESSION_0237,5/31/2024,407,404,desktop,Firefox|MacOS,False,43,8,0.10
SESSION_0238,6/1/2024,302,402,mobile,Chrome|Android,False,30,4,0.43
SESSION_0239,5/3/2024,423,402,tablet,Safari|iOS,False,32,9,0.34
SESSION_0240,5/10/2024,325,403,mobile,Chrome|Android,True,34,9,0.13
SESSION_0241,4/17/2024,403,404,desktop,Firefox|Windows,True,39,2,0.32
SESSION_0242,4/12/2024,301,404,desktop,Chrome|MacOS,False,62,11,0.29
SESSION_0243,3/10/2024,389,404,desktop,Safari|MacOS,True,42,10,0.32
SESSION_0244,3/20/2024,309,402,desktop,Chrome|Windows,True,61,15,0.33
SESSION_0245,6/10/2024,313,403,mobile,Chrome|Android,False,38,4,0.32
SESSION_0246,3/10/2024,313,404,mobile,Chrome|Android,False,88,20,0.3
SESSION_0247,6/12/2024,353,403,desktop,Safari|MacOS,False,32,8,0.55
SESSION_0248,4/22/2024,301,404,desktop,Edge|MacOS,False,63,12,0.41
SESSION_0249,5/8/2024,412,404,mobile,Firefox|Android,False,40,10,0.48
SESSION_0250,5/29/2024,430,402,mobile,Safari|iOS,False,28,4,0.54
SESSION_0251,3/24/2024,356,404,desktop,Chrome|MacOS,False,55,11,0.37
SESSION_0252,6/29/2024,332,402,desktop,Edge|Windows,True,44,5,0.58
SESSION_0253,4/12/2024,325,403,desktop,Chrome|Windows,False,67,15,0.42
SESSION_0254,3/30/2024,301,404,mobile,Safari|iOS,False,66,11,0.48
SESSION_0255,5/10/2024,367,402,desktop,Chrome|Windows,False,84,18,0.37
SESSION_0256,6/8/2024,366,404,mobile,Firefox|iOS,True,32,8,0.41
SESSION_0257,5/14/2024,361,403,mobile,Safari|iOS,False,50,9,0.35
SESSION_0258,6/25/2024,420,404,desktop,Chrome|MacOS,True,30,2,0.46
SESSION_0259,6/16/2024,301,402,mobile,Chrome|Android,False,27,4,0.32
SESSION_0260,6/22/2024,318,403,tablet,Safari|iOS,False,56,15,0.31
SESSION_0261,5/16/2024,307,402,desktop,Chrome|Windows,True,59,13,0.36
SESSION_0262,6/17/2024,417,403,desktop,Firefox|Windows,True,13,1,0.36
SESSION_0263,3/26/2024,301,403,tablet,Chrome|Android,False,57,7,0.49
SESSION_0264,3/24/2024,429,403,desktop,Chrome|Windows,False,68,13,0.31
SESSION_0265,5/4/2024,340,402,tablet,Safari|iOS,False,55,11,0.04
SESSION_0266,5/31/2024,375,404,desktop,Firefox|Linux,False,20,4,0.45
SESSION_0267,6/14/2024,404,402,mobile,Safari|iOS,False,5,2,0.34
SESSION_0268,3/5/2024,338,404,tablet,Chrome|Android,False,49,10,0.54
SESSION_0269,5/9/2024,338,403,desktop,Chrome|Windows,False,43,11,0.09
SESSION_0270,6/30/2024,309,402,mobile,Safari|iOS,False,24,4,0.29
SESSION_0271,4/18/2024,371,402,desktop,Safari|MacOS,False,56,9,0.09
SESSION_0272,4/29/2024,302,402,desktop,Chrome|MacOS,False,39,7,0.32
SESSION_0273,4/20/2024,324,404,desktop,Safari|MacOS,True,37,7,0.27
SESSION_0274,6/11/2024,414,403,tablet,Safari|iOS,False,7,1,0.1
SESSION_0275,6/14/2024,388,402,mobile,Safari|iOS,False,35,4,0.32
SESSION_0276,3/21/2024,348,403,desktop,Firefox|Linux,False,69,12,0.37
SESSION_0277,3/13/2024,417,404,desktop,Chrome|Windows,False,80,21,0.0
SESSION_0278,3/8/2024,412,403,desktop,Chrome|Windows,True,80,13,0.42
SESSION_0279,3/12/2024,314,404,mobile,Chrome|Android,False,66,18,0.3
SESSION_0280,6/5/2024,349,403,mobile,Firefox|Android,True,50,7,0.42
SESSION_0281,4/21/2024,361,404,desktop,Chrome|Windows,True,49,8,0.09
SESSION_0282,3/9/2024,408,403,desktop,Edge|MacOS,False,62,14,0.36
SESSION_0283,5/10/2024,391,403,tablet,Safari|iOS,False,37,3,0.32
SESSION_0284,4/4/2024,302,403,tablet,Safari|iOS,False,51,9,0.12
SESSION_0285,6/18/2024,307,403,desktop,Chrome|Windows,False,5,1,0.02
SESSION_0286,4/2/2024,373,402,tablet,Safari|iOS,False,61,11,0.42
SESSION_0287,3/17/2024,393,402,desktop,Chrome|Windows,False,69,13,0.3
SESSION_0288,4/20/2024,331,404,desktop,Safari|MacOS,True,47,10,0.12
SESSION_0289,4/14/2024,324,402,desktop,Safari|MacOS,False,45,13,0.34
SESSION_0290,3/30/2024,356,404,desktop,Firefox|iOS,False,65,15,0.27
SESSION_0291,6/24/2024,417,404,desktop,Chrome|Windows,False,48,8,0.58
SESSION_0292,4/11/2024,425,402,mobile,Chrome|Android,False,56,10,0.57
SESSION_0293,3/16/2024,417,403,desktop,Safari|MacOS,False,60,10,0.32
SESSION_0294,6/17/2024,314,404,desktop,Chrome|Windows,False,23,3,0.27
SESSION_0295,4/16/2024,372,404,desktop,Chrome|Windows,False,52,8,0.47
SESSION_0296,6/10/2024,322,404,desktop,Edge|MacOS,True,17,2,0.62
SESSION_0297,5/16/2024,391,404,desktop,Chrome|Windows,False,40,9,
SESSION_0298,3/11/2024,331,404,desktop,Firefox|Windows,False,70,18,0.32
SESSION_0299,5/8/2024,324,403,mobile,Safari|iOS,True,66,16,0.13
SESSION_0300,5/22/2024,344,403,mobile,Safari|iOS,False,50,9,0.29
SESSION_0301,5/14/2024,411,404,desktop,Safari|MacOS,False,54,11,0.31
SESSION_0302,4/3/2024,308,404,desktop,Edge|Windows,False,50,14,0.47
SESSION_0303,5/30/2024,354,403,desktop,Firefox|MacOS,False,44,12,0.36
SESSION_0304,5/2/2024,315,404,desktop,Edge|Windows,True,33,7,0.37
SESSION_0305,6/1/2024,313,404,mobile,Chrome|Android,False,39,10,0.31
SESSION_0306,3/26/2024,421,404,desktop,Safari|MacOS,False,67,12,0.58
SESSION_0307,6/1/2024,423,404,desktop,Firefox|Windows,False,26,4,0.28
SESSION_0308,3/15/2024,330,402,tablet,Safari|iOS,False,91,16,
SESSION_0309,3/7/2024,345,404,desktop,Chrome|MacOS,False,78,19,0.31
SESSION_0310,4/17/2024,375,402,tablet,Safari|iOS,False,30,6,0.53
SESSION_0311,6/24/2024,370,404,desktop,Chrome|Windows,False,34,6,0.5
SESSION_0312,3/10/2024,417,403,desktop,Edge|Windows,False,65,13,0.53
SESSION_0313,6/30/2024,309,403,mobile,Chrome|Android,False,25,6,0.12
SESSION_0314,3/27/2024,371,402,mobile,Safari|iOS,False,67,15,0.3
SESSION_0315,6/1/2024,418,404,desktop,Edge|Windows,False,40,5,0.29
SESSION_0316,4/15/2024,418,403,mobile,Chrome|Android,False,29,7,
SESSION_0317,3/5/2024,331,403,desktop,Chrome|MacOS,False,58,12,0.13
SESSION_0318,6/26/2024,417,403,tablet,Chrome|Android,False,36,6,0.31
SESSION_0319,6/24/2024,417,402,desktop,Firefox|MacOS,True,43,10,0.32
SESSION_0320,5/6/2024,417,404,desktop,Chrome|MacOS,False,68,12,0.10
SESSION_0321,6/29/2024,426,403,tablet,Safari|iOS,False,47,10,0.57
SESSION_0322,3/24/2024,425,402,mobile,Safari|iOS,False,38,10,0.34
SESSION_0323,6/14/2024,417,404,mobile,Safari|iOS,False,40,7,0.0
SESSION_0324,5/31/2024,367,402,desktop,Edge|MacOS,False,13,1,0.31
SESSION_0325,5/6/2024,309,402,tablet,Safari|iOS,False,64,14,0.31
SESSION_0326,4/22/2024,386,404,desktop,Firefox|MacOS,False,54,7,0.48
SESSION_0327,6/5/2024,373,402,mobile,Firefox|Android,True,20,4,0.33
SESSION_0328,4/9/2024,429,404,desktop,Chrome|Windows,True,80,12,0.36
SESSION_0329,4/20/2024,370,403,desktop,Chrome|Windows,True,59,8,0.32
SESSION_0330,4/12/2024,430,404,desktop,Chrome|iOS,False,32,9,0.28
SESSION_0331,4/8/2024,331,403,mobile,Chrome|Android,False,60,11,0.38
SESSION_0332,4/17/2024,417,403,desktop,Safari|MacOS,False,44,4,0.54
SESSION_0333,4/27/2024,301,403,desktop,Chrome|MacOS,True,50,12,0.32
SESSION_0334,5/20/2024,336,403,desktop,Chrome|MacOS,False,34,5,0.3
